Num Cols: [23]
Cat Cols: [3, 5, 9]
Null Rows: []
Dirty Rows: []
18863, 1, 0.816502
19907, 1, 0.816502
21338, 1, 0.816502
21339, 1, 0.816502
21340, 1, 0.816502
23305, 1, 0.816502
23306, 1, 0.816502
23938, 1, 0.816502
24967, 1, 0.816502
24968, 1, 0.816502
20445, 0, 0.815818
20446, 0, 0.815818
20447, 0, 0.815818
9381, 1, 0.805650
23389, 1, 0.805650
23390, 1, 0.805650
23661, 1, 0.805650
23662, 1, 0.805650
23663, 1, 0.805650
23937, 1, 0.805650
22978, 0, 0.804967
22979, 0, 0.804967
22980, 0, 0.804967
18413, 0, 0.801016
9383, 1, 0.794799
11077, 1, 0.794799
11078, 1, 0.794799
12915, 1, 0.794799
12916, 1, 0.794799
19641, 1, 0.794799
19642, 1, 0.794799
19643, 1, 0.794799
19914, 1, 0.794799
19915, 1, 0.794799
20060, 1, 0.794799
23303, 1, 0.794799
23304, 1, 0.794799
19547, 0, 0.794116
19548, 0, 0.794116
19586, 0, 0.794116
20039, 0, 0.794116
23299, 0, 0.794116
23300, 0, 0.794116
18411, 0, 0.790165
18412, 0, 0.790165
5628, 1, 0.783948
5629, 1, 0.783948
5630, 1, 0.783948
18419, 1, 0.783948
18823, 1, 0.783948
18824, 1, 0.783948
22741, 1, 0.783948
23798, 1, 0.783948
23799, 1, 0.783948
23800, 1, 0.783948
23935, 1, 0.783948
23936, 1, 0.783948
23301, 0, 0.783265
25746, 0, 0.783265
25747, 0, 0.783265
25748, 0, 0.783265
25759, 0, 0.783265
25760, 0, 0.783265
18249, 0, 0.779314
18250, 0, 0.779314
18251, 0, 0.779314
22727, 0, 0.779314
22728, 0, 0.779314
2589, 1, 0.773097
2590, 1, 0.773097
4504, 1, 0.773097
4505, 1, 0.773097
4506, 1, 0.773097
9379, 1, 0.773097
9380, 1, 0.773097
9384, 1, 0.773097
14472, 1, 0.773097
14473, 1, 0.773097
19367, 1, 0.773097
19368, 1, 0.773097
20082, 1, 0.773097
22001, 1, 0.773097
22002, 1, 0.773097
22003, 1, 0.773097
22217, 1, 0.773097
22855, 1, 0.773097
22856, 1, 0.773097
23751, 1, 0.773097
23752, 1, 0.773097
23753, 1, 0.773097
12677, 0, 0.772414
12678, 0, 0.772414
12679, 0, 0.772414
19539, 0, 0.772414
19578, 0, 0.772414
19579, 0, 0.772414
19580, 0, 0.772414
19584, 0, 0.772414
19585, 0, 0.772414
20040, 0, 0.772414
22269, 0, 0.772414
22270, 0, 0.772414
18417, 1, 0.762245
18418, 1, 0.762245
19370, 1, 0.762245
20080, 1, 0.762245
20081, 1, 0.762245
21350, 1, 0.762245
21351, 1, 0.762245
22218, 1, 0.762245
20543, 0, 0.761562
22349, 0, 0.761562
18098, 0, 0.757611
8978, 1, 0.751394
11746, 1, 0.751394
11747, 1, 0.751394
11748, 1, 0.751394
19369, 1, 0.751394
20074, 1, 0.751394
20075, 1, 0.751394
20076, 1, 0.751394
23760, 1, 0.751394
23762, 1, 0.751394
19537, 0, 0.750711
19538, 0, 0.750711
19549, 0, 0.750711
19550, 0, 0.750711
19569, 0, 0.750711
19570, 0, 0.750711
4516, 1, 0.740543
4517, 1, 0.740543
9382, 1, 0.740543
18859, 1, 0.740543
18860, 1, 0.740543
18861, 1, 0.740543
19973, 1, 0.740543
22739, 1, 0.740543
22740, 1, 0.740543
22857, 1, 0.740543
22858, 1, 0.740543
23627, 1, 0.740543
23628, 1, 0.740543
23879, 1, 0.740543
23880, 1, 0.740543
19499, 0, 0.739860
19500, 0, 0.739860
19505, 0, 0.739860
19506, 0, 0.739860
20041, 0, 0.739860
20542, 0, 0.739860
22729, 0, 0.735909
22730, 0, 0.735909
22929, 0, 0.735909
22930, 0, 0.735909
3317, 1, 0.729692
3318, 1, 0.729692
4856, 1, 0.729692
14464, 1, 0.729692
14465, 1, 0.729692
21352, 1, 0.729692
21353, 1, 0.729692
23387, 1, 0.729692
23388, 1, 0.729692
23761, 1, 0.729692
12682, 0, 0.729009
19493, 0, 0.729009
19494, 0, 0.729009
20544, 0, 0.729009
22350, 0, 0.729009
23298, 0, 0.729009
8979, 1, 0.718840
12688, 1, 0.718840
12689, 1, 0.718840
19912, 1, 0.718840
19974, 1, 0.718840
20055, 1, 0.718840
20056, 1, 0.718840
20057, 1, 0.718840
23648, 1, 0.718840
5444, 0, 0.718157
5445, 0, 0.718157
19495, 0, 0.718157
19571, 0, 0.718157
19572, 0, 0.718157
23296, 0, 0.718157
23297, 0, 0.718157
16944, 0, 0.714206
16945, 0, 0.714206
22723, 0, 0.714206
22724, 0, 0.714206
22725, 0, 0.714206
2599, 1, 0.707989
2600, 1, 0.707989
12913, 1, 0.707989
12914, 1, 0.707989
18420, 1, 0.707989
19122, 1, 0.707989
19910, 1, 0.707989
19911, 1, 0.707989
19975, 1, 0.707989
23307, 1, 0.707989
23308, 1, 0.707989
12680, 0, 0.707306
12681, 0, 0.707306
22726, 0, 0.703355
2601, 1, 0.697138
2602, 1, 0.697138
4518, 1, 0.697138
6154, 1, 0.697138
6155, 1, 0.697138
12072, 1, 0.697138
12073, 1, 0.697138
12817, 1, 0.697138
14466, 1, 0.697138
19916, 1, 0.697138
19917, 1, 0.697138
21500, 1, 0.697138
23877, 1, 0.697138
23878, 1, 0.697138
24961, 1, 0.697138
24962, 1, 0.697138
24969, 1, 0.697138
24970, 1, 0.697138
11519, 0, 0.696455
11520, 0, 0.696455
11521, 0, 0.696455
25752, 0, 0.696455
4519, 1, 0.686287
11530, 1, 0.686287
12070, 1, 0.686287
12071, 1, 0.686287
14467, 1, 0.686287
19123, 1, 0.686287
19998, 1, 0.686287
19999, 1, 0.686287
22227, 1, 0.686287
22228, 1, 0.686287
23386, 1, 0.686287
23626, 1, 0.686287
24965, 1, 0.686287
24966, 1, 0.686287
25839, 1, 0.686287
18821, 0, 0.685604
18822, 0, 0.685604
25763, 0, 0.685604
25764, 0, 0.685604
11774, 0, 0.681653
11775, 0, 0.681653
11776, 0, 0.681653
18100, 0, 0.681653
5408, 1, 0.675436
5409, 1, 0.675436
5410, 1, 0.675436
8880, 1, 0.675436
8977, 1, 0.675436
9376, 1, 0.675436
9377, 1, 0.675436
9378, 1, 0.675436
11528, 1, 0.675436
11705, 1, 0.675436
11706, 1, 0.675436
11707, 1, 0.675436
12835, 1, 0.675436
12836, 1, 0.675436
18787, 1, 0.675436
18788, 1, 0.675436
19124, 1, 0.675436
22868, 1, 0.675436
22869, 1, 0.675436
22870, 1, 0.675436
23941, 1, 0.675436
23942, 1, 0.675436
24963, 1, 0.675436
25931, 1, 0.675436
25932, 1, 0.675436
25081, 0, 0.670801
25082, 0, 0.670801
